round_idx,train_loss,val_loss,val_accuracy,test_loss,test_accuracy,last10_mean_accuracy,mean_local_cosine,kept_batch_ratio,mean_server_cosine,mean_epsilon_t,mean_sigma_t,communication_mb,mean_clean_update_norm,mean_noisy_update_norm
1,3.498705792924134,3.326279880012295,7.551914279904171,3.393387145740165,7.06914152141121,7.06914152141121,0.95,0.9323542098112552,0,0,0,20.49114990234375,0.5019363566074343,0.5300091139062346
2,3.345414248568811,3.17354592955734,11.60656728786198,3.232065523574772,10.98573545106624,9.027438486238724,0.95,0.9395243824561632,0,0,0,20.49114990234375,0.476590392893381,0.5055146687197607
3,3.31481785766629,3.190566902670087,12.06819575145034,3.228132614033336,11.30808953740569,9.787655503294378,0.95,0.938440219311542,0,0,0,20.49114990234375,0.5008303839730702,0.5306061783270293
4,3.40507426623464,3.260179961446568,10.40587976491428,3.289397312152066,9.505257595057405,9.717056026235134,0.95,0.9388794296854138,0,0,0,20.49114990234375,0.5616882829919823,0.5923155958735207
5,3.204610151980575,3.017572771467514,16.52841909600598,3.070580346012992,15.48602069349928,10.87084895968797,0.638264550019459,0.942636832301205,0,0,0,20.49114990234375,0.6036365511744082,0.635115382583526
6,3.039645577519854,2.842890372513884,21.22516753930608,2.875385462008883,20.03972269594459,12.3989945823974,0.6344413353864324,0.9448950878072157,0.5980460030024254,9.504950495049505,0.5097138870032755,20.49114990234375,0.6098884264693876,0.7522187764060847
7,3.025954724793246,2.816636981510983,22.28695758128538,2.81723455384207,20.9571960852103,13.62159479708496,0.6430703445242371,0.9435389682781266,0.5952499167240595,11.08910891089109,0.4368976174313788,20.49114990234375,0.6641971435355238,0.7916647262855147
8,2.751712222098337,2.561169248297905,28.66641176156642,2.597876586891299,27.1910744205447,15.31777975001743,0.6097522329805828,0.9491973299416042,0.6219896310406643,12.67326732673268,0.3822854152524564,20.49114990234375,0.6996527892631932,0.8161861762550491
9,2.643646371139776,2.523198942009624,31.111646972115,2.535513629094154,29.58106989165382,16.9025897657548,0.6819527907546296,0.952022227706077,0.6853731203163145,14.25742574257426,0.3398092580021835,20.49114990234375,0.5708016530304246,0.6790198918831931
10,2.688724012669123,2.53101680193106,30.33814742588652,2.549336108089022,28.89764593664443,18.10209538284376,0.6914026602584138,0.948611813811572,0.5671134481796826,15.84158415841585,0.3058283322019651,20.49114990234375,0.6684778880191393,0.7702143120661539
11,2.62619260500537,2.475585785961807,31.34975544500708,2.512281847474779,29.99817856414509,20.39499908711715,0.6003386156120786,0.9509488959347202,0.5439411668633324,17.42574257425742,0.2780257565472411,20.49114990234375,0.898308378350811,0.9948963209254048
